purchased_on_mp,member_number_members_sa,id_membership_periods_sa,starts_mp,ends_mp
"2021-06-25 22:32:09",356157100,3392785,2021-06-25,2022-06-24
"2021-06-25 22:32:09",356157100,3392786,2021-06-25,2022-06-24
"2021-07-23 22:48:08",2100399487,3470315,2022-07-23,2023-07-22
"2021-07-23 22:48:08",2100399487,3470316,2022-07-23,2023-07-22
"2021-08-01 01:33:05",335302549,3484366,2021-07-31,2022-07-30
"2021-08-01 01:33:05",335302549,3484368,2021-07-31,2022-07-30
"2021-08-09 06:00:00",2100034949,3494123,2022-09-24,2022-09-24
"2021-08-09 06:00:00",2100034949,3494128,2022-09-24,2022-09-24
"2021-11-29 00:17:12",482151877,3671408,2022-11-28,2023-11-27
"2021-11-29 00:17:12",482151877,3671409,2022-11-28,2023-11-27
"2021-11-29 17:32:05",563547,3672551,2024-03-27,2025-03-26
"2021-11-29 17:32:05",563547,3672552,2024-03-27,2025-03-26
"2021-12-30 23:32:08",792231478,3693110,2022-03-25,2022-03-26
"2021-12-30 23:32:08",792231478,3693113,2022-03-25,2022-03-26
"2021-12-31 18:17:10",2100315368,3693724,2023-06-03,2024-06-02
"2021-12-31 18:17:10",2100315368,3693725,2023-06-03,2024-06-02
"2022-01-19 23:17:05",482767220,3707548,2022-01-19,2023-01-18
"2022-01-19 23:17:05",482767220,3707549,2022-01-19,2023-01-18
"2022-02-02 20:47:04",890427632,3717816,2022-02-02,2023-02-01
"2022-02-02 20:47:04",890427632,3717817,2022-02-02,2023-02-01
"2022-02-05 06:00:00",2100387645,3792882,2022-02-05,2022-02-05
"2022-02-05 06:00:00",2100387645,3838180,2022-02-05,2022-02-05
"2022-02-15 16:47:05",2065078807,3725254,2023-10-03,2024-10-02
"2022-02-15 16:47:05",2065078807,3725255,2023-10-03,2024-10-02
"2022-02-24 13:02:03",477051845,3733257,2023-02-24,2024-02-23
"2022-02-24 13:02:03",477051845,3733258,2023-02-24,2024-02-23
"2022-03-06 06:00:00",104392597,3958908,2022-03-06,2022-03-06
"2022-03-06 06:00:00",104392597,3983213,2022-03-06,2022-03-06
"2022-03-06 06:00:00",111511681,3957057,2022-03-06,2022-03-06
"2022-03-06 06:00:00",111511681,3981708,2022-03-06,2022-03-06
"2022-03-06 06:00:00",125455206,3958596,2022-03-06,2022-03-06
"2022-03-06 06:00:00",125455206,3982898,2022-03-06,2022-03-06
"2022-03-06 06:00:00",126481038,3957984,2022-03-06,2022-03-06
"2022-03-06 06:00:00",126481038,3982393,2022-03-06,2022-03-06
"2022-03-06 06:00:00",133649555,3957955,2022-03-06,2022-03-06
"2022-03-06 06:00:00",133649555,3982371,2022-03-06,2022-03-06
"2022-03-06 06:00:00",134208191,3957672,2022-03-06,2022-03-06
"2022-03-06 06:00:00",134208191,3982156,2022-03-06,2022-03-06
"2022-03-06 06:00:00",142624236,3957252,2022-03-06,2022-03-06
"2022-03-06 06:00:00",142624236,3981852,2022-03-06,2022-03-06
"2022-03-06 06:00:00",144057111,3958434,2022-03-06,2022-03-06
"2022-03-06 06:00:00",144057111,3982735,2022-03-06,2022-03-06
"2022-03-06 06:00:00",155469335,3957949,2022-03-06,2022-03-06
"2022-03-06 06:00:00",155469335,3982366,2022-03-06,2022-03-06
"2022-03-06 06:00:00",156227915,3958467,2022-03-06,2022-03-06
"2022-03-06 06:00:00",156227915,3982767,2022-03-06,2022-03-06
"2022-03-06 06:00:00",166386364,3957276,2022-03-06,2022-03-06
"2022-03-06 06:00:00",166386364,3981870,2022-03-06,2022-03-06
"2022-03-06 06:00:00",179602919,3958238,2022-03-06,2022-03-06
"2022-03-06 06:00:00",179602919,3982589,2022-03-06,2022-03-06
"2022-03-06 06:00:00",179710303,3958642,2022-03-06,2022-03-06
"2022-03-06 06:00:00",179710303,3982944,2022-03-06,2022-03-06
"2022-03-06 06:00:00",186242211,3957489,2022-03-06,2022-03-06
