member_number_members_sa,id_membership_periods_sa,purchased_on_adjusted_mp,real_membership_types_sa,new_member_category_6_sa,membership_type_id_mp,starts_mp,ends_mp
100028401,3956011,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-20
100028401,3967265,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-20
100511588,3957309,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-20
100511588,3967755,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-20
100515073,3897185,"2022-06-11 00:00:00",one_day,"One Day - $15",47,2022-06-11,2022-06-11
100515073,3900785,"2022-06-11 00:00:00",one_day,"One Day - $15",47,2022-06-11,2022-06-11
101593,4539204,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
101593,4544086,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
101593,4551359,"2023-10-01 00:00:00",one_day,"One Day - $15",47,2023-10-01,2023-10-01
101593,4551567,"2023-10-01 00:00:00",one_day,"One Day - $15",47,2023-10-01,2023-10-01
101636244,3958934,"2022-06-18 00:00:00",one_day,"One Day - $15",47,2022-06-18,2022-06-19
101636244,3983239,"2022-06-18 00:00:00",one_day,"One Day - $15",47,2022-06-18,2022-06-19
101636244,3958935,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-21
101636244,3983240,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-21
101989265,3957082,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-20
101989265,3967695,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-20
102339226,4694822,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
102339226,4697351,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
102409582,3958606,"2021-09-11 00:00:00",one_day,"One Day - $15",47,2021-09-11,2021-09-11
102409582,3982908,"2021-09-11 00:00:00",one_day,"One Day - $15",47,2021-09-11,2021-09-11
102512166,4482820,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
102512166,4528973,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
102773550,4694885,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
102773550,4697415,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
103066583,3956054,"2022-06-25 00:00:00",one_day,"One Day - $15",47,2022-06-25,2022-06-26
103066583,3967285,"2022-06-25 00:00:00",one_day,"One Day - $15",47,2022-06-25,2022-06-26
103349633,4694806,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
103349633,4697335,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
103679425,3958343,"2022-05-14 00:00:00",one_day,"One Day - $15",47,2022-05-14,2022-05-15
103679425,3982645,"2022-05-14 00:00:00",one_day,"One Day - $15",47,2022-05-14,2022-05-15
103679425,3958344,"2022-07-03 00:00:00",one_day,"One Day - $15",47,2022-07-03,2022-07-04
